id,cip6
MID25783178,143501
MID25783197,140801
MID25783388,141901
MID25783441,140801
MID25783491,141001
MID25783553,140801
MID25783606,141001
MID25783648,140801
MID25783912,143501
MID25784022,141901
MID25784025,141901
MID25784056,141901
MID25784118,141001
MID25784209,140801
MID25784209,141001
MID25784234,143501
MID25784331,141901
MID25784402,141901
MID25784489,140801
MID25784521,141001
MID25784709,140801
MID25784742,140801
MID25784843,140801
MID25784844,140801
MID25784893,141001
MID25784893,143501
MID25784945,140801
MID25784963,140801
MID25784976,143501
MID25785022,141001
MID25785071,140801
MID25785172,140801
MID25785888,141901
MID25785928,141901
MID25785942,143501
MID25786154,140801
MID25786173,141001
MID25786257,141001
MID25786364,141001
MID25786575,140801
MID25786745,141901
MID25786889,141901
MID25786904,141001
MID25787043,140801
MID25787166,143501
MID25787191,141901
MID25787358,141001
MID25787414,140801
MID25787459,140801
MID25787472,141901
MID25787496,140801
MID25787682,141901
MID25787867,141901
MID25787872,140801
MID25788058,141901
MID25788077,141001
MID25788418,141001
MID25788427,140801
MID25788434,141001
MID25788461,143501
MID25788509,141001
MID25788636,141901
MID25788665,140801
MID25788770,143501
MID25788855,141001
MID25788860,141901
MID25789010,140801
MID25789060,140801
MID25789187,141001
MID25789311,140801
MID25789320,141901
MID25789344,141001
MID25789351,141901
MID25789433,141001
MID25789438,141001
MID25789465,141001
MID25789515,141901
MID25789617,141001
MID25789636,140801
MID25789698,143501
MID25789767,141001
MID25789896,141901
MID25789924,141001
MID25790330,141901
MID25790330,143501
MID25790352,141901
MID25790436,141001
MID25790463,140801
MID25790625,141901
MID25790729,141001
MID25790772,141901
MID25790786,140801
MID25790828,141901
MID25790863,141901
MID25791067,143501
MID25791133,140801
MID25791205,141901
MID25791208,140801
MID25791256,141901
MID25791576,141001
MID25791645,143501
MID25791835,143501
MID25791970,140801
MID25791971,141001
MID25792016,141901
MID25792017,141001
MID25792074,141001
MID25792087,141901
MID25792202,140801
MID25792251,140801
MID25792342,143501
MID25792350,141001
MID25792350,141901
MID25792511,141901
MID25792536,141901
MID25792604,141901
MID25792621,141001
MID25792621,143501
MID25792785,143501
MID25792991,140801
MID25793076,140801
MID25793084,140801
MID25793201,140801
MID25793265,141001
MID25793323,140801
MID25793362,140801
MID25793523,143501
MID25793540,141901
MID25793666,141901
MID25793748,140801
MID25793824,143501
MID25793824,140801
MID25793927,140801
MID25793996,143501
MID25794002,140801
MID25794069,140801
MID25794073,141901
MID25794372,140801
MID25794401,140801
MID25794449,143501
MID25794516,140801
MID25794609,141001
MID25794675,141901
MID25794722,141901
MID25794774,143501
MID25794777,141901
MID25794858,141901
MID25794888,141901
MID25795069,141001
MID25795083,141901
MID25795152,141901
MID25795181,141001
MID25795583,141901
MID25795641,143501
MID25795642,143501
MID25795670,141901
MID25795686,143501
MID25795750,143501
MID25795752,140801
MID25795964,141001
MID25796023,141001
MID25796033,141901
MID25796088,140801
MID25796088,141901
MID25796110,141901
MID25796160,140801
MID25796366,140801
MID25796380,141001
MID25796381,141901
MID25796407,140801
MID25796452,143501
MID25796457,140801
MID25796521,141001
MID25796532,141901
MID25796544,140801
MID25796635,141901
MID25796907,141901
MID25796908,141901
MID25796987,140801
MID25796992,140801
MID25797014,141901
MID25797074,140801
MID25797148,141001
MID25797306,141901
MID25797361,140801
MID25797554,140801
MID25797587,141901
MID25797628,141901
MID25797686,141001
MID25797766,141901
MID25797826,141901
MID25797826,140801
MID25797835,141901
MID25797872,141001
MID25797938,141901
MID25798072,141001
MID25798095,141901
MID25798146,141901
MID25798166,141901
MID25798314,141901
MID25798451,141001
MID25798754,141901
MID25798814,140801
MID25798831,140801
MID25798959,141001
MID25799063,140801
MID25799121,141901
MID25799219,141901
MID25799361,143501
MID25799405,140801
MID25799431,141901
MID25799466,140801
MID25799510,143501
MID25799551,141001
MID25799578,141001
MID25799734,143501
MID25799859,141901
MID25799916,143501
MID25799953,141901
MID25799975,140801
MID25800015,140801
MID25800083,143501
MID25800109,141001
MID25800170,141901
MID25800170,143501
MID25800336,141001
MID25800473,140801
MID25800495,141901
MID25800713,140801
MID25800835,141901
MID25800923,140801
MID25800974,141901
MID25801007,141901
MID25801007,140801
MID25801036,140801
MID25801172,140801
MID25801582,140801
MID25801650,141001
MID25801839,140801
MID25801972,143501
MID25802021,140801
MID25802084,143501
MID25802086,140801
MID25802150,141001
MID25802420,141901
MID25802452,140801
MID25802473,143501
MID25802473,140801
MID25802491,141001
MID25802717,141001
MID25802888,141901
MID25802966,141901
MID25803046,140801
MID25803059,141001
MID25803106,141901
MID25803174,140801
MID25803175,140801
MID25803545,141901
MID25803548,140801
MID25803591,141901
MID25803656,140801
MID25803782,143501
MID25803920,141001
MID25803935,140801
MID25803968,140801
MID25804044,141901
MID25804145,141901
MID25804157,143501
MID25804262,141001
MID25804278,141901
MID25804371,140801
MID25804494,140801
MID25804594,143501
MID25804613,141901
MID25804679,140801
MID25804844,141901
MID25805337,141901
MID25805338,141001
MID25805468,140801
MID25805469,140801
MID25805473,140801
MID25805529,141901
MID25805569,140801
MID25805640,141901
MID25805797,141901
